years_of_experience,job_title,education_level,location,company_size,salary_in_lpa
1.1,Software Engineer,Bachelor's,Pune,Startup,4.50
1.3,Data Scientist,Bachelor's,Bengaluru,Mid-size,6.20
1.5,Software Engineer,Bachelor's,NCR,Startup,5.50
2.0,ML Engineer,Master's,Bengaluru,Mid-size,9.80
2.2,Data Engineer,Bachelor's,Hyderabad,Enterprise,8.50
2.5,DevOps Engineer,Bachelor's,Pune,Mid-size,7.20
2.9,Software Engineer,Master's,Bengaluru,Enterprise,12.50
3.0,Data Scientist,Master's,Bengaluru,Mid-size,14.00
3.2,ML Engineer,PhD,Bengaluru,Enterprise,18.50
3.5,Data Engineer,Bachelor's,Hyderabad,Startup,11.20
3.7,DevOps Engineer,Master's,NCR,Mid-size,10.50
4.0,Software Engineer,Bachelor's,Pune,Enterprise,11.80
4.1,Data Scientist,Master's,Bengaluru,Enterprise,16.50
4.5,ML Engineer,Master's,Remote,Mid-size,18.00
4.8,Software Engineer,Master's,Bengaluru,Enterprise,21.00
5.0,Data Engineer,Bachelor's,Remote,Startup,15.50
5.1,DevOps Engineer,Bachelor's,Hyderabad,Mid-size,14.80
5.3,Data Scientist,PhD,Bengaluru,Enterprise,25.00
5.5,ML Engineer,PhD,Bengaluru,Enterprise,28.50
5.9,Software Engineer,Master's,NCR,Enterprise,22.00
6.0,Data Scientist,Master's,Bengaluru,Enterprise,24.00
6.2,Data Engineer,Bachelor's,Hyderabad,Enterprise,19.50
6.5,DevOps Engineer,Master's,Remote,Mid-size,20.00
6.8,ML Engineer,Master's,Bengaluru,Enterprise,32.00
7.0,Software Engineer,Bachelor's,Bengaluru,Enterprise,27.50
7.1,Data Scientist,PhD,Remote,Mid-size,31.00
7.5,Data Engineer,Master's,Bengaluru,Enterprise,29.00
7.9,DevOps Engineer,Bachelor's,Pune,Enterprise,21.50
8.0,ML Engineer,PhD,Bengaluru,Enterprise,38.00
8.2,Software Engineer,Master's,Bengaluru,Enterprise,34.00
8.5,Data Scientist,Master's,Bengaluru,Enterprise,36.50
8.7,Data Engineer,Bachelor's,Hyderabad,Enterprise,26.00
9.0,DevOps Engineer,Master's,NCR,Enterprise,28.00
9.5,ML Engineer,PhD,Bengaluru,Enterprise,42.00
9.6,Software Engineer,Master's,Remote,Enterprise,39.00
10.0,Data Scientist,PhD,Bengaluru,Enterprise,45.00
10.3,Data Engineer,Master's,Hyderabad,Enterprise,38.50
10.5,ML Engineer,PhD,Bengaluru,Enterprise,48.00
11.0,Software Engineer,Master's,Bengaluru,Enterprise,41.00
11.2,DevOps Engineer,Master's,NCR,Enterprise,35.00
11.5,Data Scientist,PhD,Bengaluru,Enterprise,52.00
12.0,ML Engineer,PhD,Remote,Enterprise,55.00
12.5,Software Engineer,Master's,Bengaluru,Enterprise,46.00
13.0,Data Engineer,Master's,Hyderabad,Enterprise,44.00
13.5,Data Scientist,PhD,Bengaluru,Enterprise,58.00
14.0,ML Engineer,PhD,Bengaluru,Enterprise,62.00
14.5,Software Engineer,Master's,Remote,Enterprise,50.00
15.0,DevOps Engineer,Master's,NCR,Enterprise,42.00
1.0,Software Engineer,Bachelor's,Remote,Startup,4.20
1.2,Data Scientist,Bachelor's,Pune,Startup,5.00
1.4,Data Engineer,Bachelor's,Hyderabad,Mid-size,5.80
1.6,ML Engineer,Master's,NCR,Startup,7.50
1.8,DevOps Engineer,Bachelor's,Bengaluru,Startup,6.80
2.1,Software Engineer,Master's,Remote,Mid-size,8.40
2.3,Data Scientist,Bachelor's,Bengaluru,Mid-size,10.20
2.6,Data Engineer,Master's,Hyderabad,Mid-size,9.50
2.8,ML Engineer,Master's,Bengaluru,Enterprise,15.00
3.1,DevOps Engineer,Bachelor's,Pune,Mid-size,8.80
3.3,Software Engineer,Bachelor's,NCR,Mid-size,9.60
3.6,Data Scientist,PhD,Remote,Enterprise,21.00
3.8,Data Engineer,Master's,Bengaluru,Mid-size,14.50
4.2,ML Engineer,Master's,Hyderabad,Enterprise,17.20
4.4,DevOps Engineer,Master's,Remote,Enterprise,15.00
4.6,Software Engineer,Bachelor's,Bengaluru,Mid-size,16.80
4.9,Data Scientist,Master's,Bengaluru,Enterprise,20.50
5.2,Data Engineer,Bachelor's,NCR,Mid-size,16.00
5.4,ML Engineer,PhD,Pune,Enterprise,23.00
5.6,DevOps Engineer,Master's,Bengaluru,Enterprise,19.80
5.8,Software Engineer,Master's,Hyderabad,Enterprise,21.50
6.1,Data Scientist,Master's,Bengaluru,Mid-size,25.00
6.3,Data Engineer,Master's,Remote,Enterprise,23.50
6.6,ML Engineer,PhD,Bengaluru,Enterprise,29.50
6.9,DevOps Engineer,Bachelor's,NCR,Enterprise,22.80
7.2,Software Engineer,Master's,Bengaluru,Enterprise,30.00
7.4,Data Scientist,PhD,Bengaluru,Enterprise,33.50
7.7,Data Engineer,Bachelor's,Remote,Mid-size,25.50
8.1,ML Engineer,Master's,Remote,Enterprise,36.00
8.3,DevOps Engineer,Master's,Hyderabad,Enterprise,27.00
8.6,Software Engineer,PhD,Bengaluru,Enterprise,38.50
8.8,Data Scientist,Master's,NCR,Enterprise,34.00
9.1,Data Engineer,Master's,Bengaluru,Enterprise,33.00
9.3,ML Engineer,PhD,Remote,Enterprise,44.00
9.7,DevOps Engineer,Master's,Bengaluru,Enterprise,32.50
9.9,Software Engineer,Master's,Bengaluru,Enterprise,39.50
10.1,Data Scientist,PhD,Hyderabad,Enterprise,42.50
10.4,Data Engineer,Master's,NCR,Enterprise,37.00
10.8,ML Engineer,PhD,Bengaluru,Enterprise,51.00
11.1,Software Engineer,Master's,Bengaluru,Enterprise,43.50
11.4,DevOps Engineer,Bachelor's,Pune,Enterprise,33.00
11.8,Data Scientist,PhD,Bengaluru,Enterprise,54.00
12.2,Data Engineer,Master's,Hyderabad,Enterprise,46.50
12.6,ML Engineer,PhD,Bengaluru,Enterprise,57.00
13.2,Software Engineer,Master's,Remote,Enterprise,48.00
13.8,Data Scientist,PhD,Bengaluru,Enterprise,61.00
14.2,ML Engineer,PhD,Bengaluru,Enterprise,64.50
14.8,Software Engineer,Master's,Bengaluru,Enterprise,53.00
